,Image,Labels_Rekognition,Labels_Vision,Labels_Azure
10,Gladiators.pose.for.tourists.in.rome.jpg,"['Costume', 'Person', 'Adult', 'Female', 'Woman', 'Male', 'Man', 'Handbag', 'Skirt', 'Baby']",,"['clothing (99.79%)', 'person (99.74%)', 'man (99.46%)', 'footwear (98.85%)', 'woman (98.02%)', 'costume (96.37%)', 'cosplay (89.33%)', 'fan convention (86.24%)', 'fashion accessory (85.57%)', 'people (85.07%)', 'outdoor (84.11%)', 'ground (73.77%)', 'street (55.42%)', 'armor (53.72%)']"
11,group of people mixed.jpg,"['Photography', 'Face', 'Head', 'Person', 'Portrait', 'Adult', 'Female', 'Woman', 'Glasses', 'Man']",,"['human face (99.65%)', 'woman (91.77%)', 'clothing (84.71%)', 'person (83.36%)', 'fashion (41.55%)']"
12,kid with cows.jpg,"['Photography', 'Person', 'Portrait', 'Grass', 'Field', 'Grassland', 'Nature', 'Outdoors', 'Baby', 'Livestock']",,"['grass (99.90%)', 'outdoor (96.57%)', 'plant (93.07%)', 'human face (91.07%)', 'field (77.28%)', 'farm (72.11%)', 'person (70.01%)', 'girl (63.32%)', 'child (62.69%)']"
13,kids playing football.jpg,"['Boy', 'Child', 'Male', 'Person', 'Female', 'Girl', 'People', 'Play', 'Shorts', 'Football']",,"['person (99.20%)', 'outdoor (98.70%)', 'grass (98.50%)', 'tree (98.26%)', 'football (97.79%)', 'ball (97.64%)', 'athletic game (97.57%)', 'sport (97.44%)', 'footwear (96.77%)', 'soccer ball (95.78%)', 'soccer (95.72%)', 'soccer player (95.36%)', 'playground (94.91%)', 'sports equipment (94.19%)', 'playing (93.61%)', 'field (92.51%)', 'football player (89.79%)', 'kick (88.34%)', 'forward (88.27%)', 'young (81.33%)', 'group (78.90%)', 'boy (72.03%)', 'child (63.59%)']"
14,kids playing in park.jpg,"['People', 'Person', 'Face', 'Happy', 'Head', 'Boy', 'Child', 'Male', 'Female', 'Girl']",,"['clothing (99.91%)', 'person (99.84%)', 'human face (99.71%)', 'tree (98.98%)', 'outdoor (98.93%)', 'girl (95.43%)', 'smile (94.06%)', 'toddler (91.30%)', 'group (72.93%)', 'sitting (69.51%)', 'young (65.76%)', 'people (64.41%)', 'child (58.64%)', 'boy (58.51%)', 'ground (58.32%)', 'plant (52.65%)']"
15,kids playing outdoors.jpg,"['Soccer Ball', 'People', 'Person', 'Jeans', 'Grass', 'Boy', 'Child', 'Male', 'Girl', 'Teen']",,"['person (99.83%)', 'grass (99.03%)', 'outdoor (98.35%)', 'clothing (98.08%)', 'football (97.97%)', 'soccer (94.79%)', 'building (94.45%)', 'footwear (93.62%)', 'ball (92.09%)', 'plant (91.34%)', 'boy (90.71%)', 'man (88.49%)', 'jeans (86.92%)', 'playground (84.37%)', 'people (70.78%)', 'girl (58.96%)', 'woman (57.67%)']"
16,people eating pizza.jpg,"['Brunch', 'People', 'Person', 'Eating', 'Pizza', 'Head', 'Face', 'Adult', 'Female', 'Woman']",,"['person (99.51%)', 'clothing (97.23%)', 'human face (96.86%)', 'food (96.39%)', 'man (94.74%)', 'people (93.80%)', 'table (91.64%)', 'woman (91.46%)', 'group (91.38%)', 'tableware (90.02%)', 'fast food (89.52%)', 'supper (89.04%)', 'lunch (89.03%)', 'eating (84.05%)', 'indoor (83.77%)', 'sitting (75.78%)', 'wall (71.76%)', 'dinner (62.31%)', 'meal (58.49%)', 'banquet (51.48%)']"
17,twin babies.jpg,"['Blanket', 'Photography', 'Face', 'Head', 'Person', 'Portrait', 'Baby', 'People', 'Newborn', 'Sleeping']",,"['newborn (99.55%)', 'person (98.85%)', 'human face (97.58%)', 'child (97.07%)', 'toddler (96.05%)', 'boy (95.66%)', 'indoor (93.98%)', 'baby (93.77%)', 'sleep (89.33%)', 'baby & toddler clothing (87.95%)', 'comfort (87.41%)', 'skin (86.39%)', 'nap (86.24%)', 'wall (79.26%)']"
18,white adult.jpg,"['Face', 'Head', 'Person', 'Photography', 'Portrait', 'Adult', 'Female', 'Woman', 'Smile', 'Skin']",,"['human face (99.88%)', 'person (99.20%)', 'skin (96.58%)', 'portrait photography (96.09%)', 'eyebrow (95.99%)', 'lip (95.81%)', 'portrait (95.13%)', 'eyelash (93.93%)', 'lady (92.19%)', 'layered hair (91.56%)', 'brown hair (90.13%)', 'cheek (88.50%)', 'chin (88.23%)', 'throat (88.21%)', 'forehead (88.11%)', 'female person (87.95%)', 'woman (87.89%)', 'neck (87.62%)', 'lipstick (86.15%)', 'long hair (86.07%)', 'girl (85.06%)', 'face (41.07%)']"
19,white kid 2.jpg,"['Photography', 'Face', 'Head', 'Person', 'Portrait', 'Smile', 'T-Shirt', 'Boy', 'Child', 'Male']",,"['human face (99.72%)', 'person (99.39%)', 'smile (95.13%)', 'clothing (93.29%)', 'chin (90.97%)', 'neck (90.69%)', 'skin (88.96%)', 'portrait (88.17%)', 'bangs (87.26%)', 'portrait photography (87.14%)', 'lip (84.33%)', 'toddler (84.20%)', 'sleeve (84.15%)', 'wall (80.66%)', 'young (74.97%)', 'boy (71.15%)', 'shirt (57.31%)', 'child (50.84%)']"
20,white kid.jpg,"['Person', 'Photography', 'Portrait', 'Blonde', 'Coat', 'Smile', 'Jacket', 'Boy', 'Child', 'Male']",,"['human face (99.60%)', 'person (99.39%)', 'clothing (98.59%)', 'toddler (97.51%)', 'smile (94.97%)', 'outdoor (92.33%)', 'child (91.44%)', 'portrait (89.09%)', 'child model (85.76%)', 'sweater (85.34%)', 'boy (82.80%)', 'young (76.41%)', 'blue (63.02%)']"
21,white kids playground.jpg,"['Grass', 'People', 'Person', 'Park', 'Shoe', 'Female', 'Girl', 'Teen', 'Child', 'Male']",,"['clothing (99.77%)', 'outdoor (99.59%)', 'person (99.29%)', 'footwear (98.93%)', 'tree (98.78%)', 'group (96.68%)', 'playground (95.80%)', 'people (94.75%)', 'grass (93.80%)', 'boy (76.42%)', 'child (70.13%)', 'young (61.58%)', 'park (59.01%)', 'red (56.38%)', 'climbing frame (50.19%)']"
22,white lady.jpg,"['Person', 'Skin', 'Face', 'Head', 'Photography', 'Portrait', 'Adult', 'Female', 'Woman', 'Lipstick']",,"['human face (99.46%)', 'eyelash (98.41%)', 'person (97.97%)', 'eyebrow (97.84%)', 'lip (96.42%)', 'portrait (95.86%)', 'lipstick (95.75%)', 'portrait photography (95.69%)', 'skin (95.31%)', 'eye liner (94.28%)', 'makeover (91.67%)', 'eye shadow (91.14%)', 'mascara (90.20%)', 'closeup (89.83%)', 'cosmetics (89.17%)', 'lip gloss (89.04%)', 'photo shoot (88.20%)', 'iris (85.42%)', 'cheek (85.08%)', 'model (84.84%)', 'girl (79.08%)', 'fashion (76.52%)', 'woman (74.94%)', 'eyes (67.47%)', 'face (48.97%)']"
23,0033Abbatte-scaled.jpg,,"['Face', 'Chin', 'Outerwear', 'Smile', 'Eye', 'Neck', 'Sleeve', 'Collar', 'Happy', 'Flash photography']",
24,1000_F_415548178_nwvs24CchRDMDfT1QkIQ0eDXxFk9P102.jpg,,"['Nose', 'Face', 'Smile', 'Jaw', 'Neck', 'Sleeve', 'Happy', 'Bangs', 'Eyelash', 'Black hair']",
25,115f579c09693a8c3e650e67f31c8d65.jpg,,"['Nature', 'People in nature', 'Happy', 'Sunlight', 'Rabbit', 'Grass', 'Hat', 'Fawn', 'Grassland', 'Summer']",
26,202641936-front-view-portrait-of-multi-ethnic-group-of-people-of-different-ages-generative-ai-illustration.jpg,,"['Glasses', 'Skin', 'Hairstyle', 'Facial expression', 'Black', 'Fashion', 'Flash photography', 'Social group', 'Smile', 'Art']",
27,2671d2bfc3bdb2532c10b671ad3f8ce2.jpg,,"['Forehead', 'Nose', 'Brown', 'Cheek', 'Skin', 'Lip', 'Eyelash', 'Flash photography', 'Jaw', 'Temple']",
28,3248952529_0bda5b70eb_b.jpg,,"['Smile', 'Nose', 'Skin', 'Chin', 'Mouth', 'Facial expression', 'Tooth', 'White', 'Human', 'Neck']",
29,360_F_261982444_jDzDlgClqQDc5DX47Qy4PSayvcn89vQi.jpg,,"['Food', 'Tableware', 'Human', 'Table', 'Orange', 'Plate', 'Sharing', 'Cuisine', 'Wine glass', 'Dish']",
30,360_F_492980645_xr3a4U4b6lUVi0M8LtLwZykiB1iPqu3X.jpg,,"['Face', 'Cheek', 'Skin', 'Chin', 'Comfort', 'Baby', 'Gesture', 'Happy', 'Flash photography', 'Toddler']",
31,474960219_kidsplayingoutsidee1401800407482.jpg,,"['Jeans', 'Shorts', 'Plant', 'Daytime', 'Window', 'Vertebrate', 'Sports equipment', 'Football', 'Soccer', 'Ball']",
32,5-gardening-tools-for-the-elderly.jpg,,"['Plant', 'Plant community', 'People in nature', 'Sky', 'Natural environment', 'Tree', 'Farmer', 'Grass', 'Agriculture', 'Natural landscape']",
33,533b825c46b7c8d654be8cdb7a.jpg,,"['Nose', 'Cheek', 'Lip', 'Eyebrow', 'Eyelash', 'Flash photography', 'Jaw', 'Iris', 'Makeover', 'Black hair']",
34,570px-Gladiators.pose.for.tourists.in.rome.arp.jpg,,"['Footwear', 'Shoe', 'Hat', 'Shorts', 'Event', 'Belt', 'Tradition', 'Eyewear', 'Costume', 'Fun']",
35,88142f443e-w600h600.jpg,,"['Plant', 'Botany', 'Tree', 'Leisure', 'Red', 'Smile', 'Grass', 'Recreation', 'Fun', 'Event']",
36,935178da2cb63f4378c0f07b4d48ba18.jpg,,"['Furniture', 'Gesture', 'Happy', 'Chair', 'Couch', 'Event', 'Fashion design', 'Performing arts', 'Fun', 'Leisure']",
37,baby_girl_new_arrivals_x800_ab083d69-1e6e-4d41-95b4-3520abd3b05a_1200x.jpg,,"['Face', 'Skin', 'Arm', 'White', 'Product', 'Baby & toddler clothing', 'Sleeve', 'Gesture', 'Toddler', 'Happy']",
38,c0466998-800px-wm.jpg,,"['Plant', 'Natural environment', 'Tree', 'Sky', 'Garden tool', 'People in nature', 'Grass', 'Rural area', 'Landscape', 'Compost']",
39,Elderly_woman_gardening_in_backyard_with_daughter_1200.jpg,,"['Plant', 'Flower', 'Wheel', 'Hat', 'Sun hat', 'Grass', 'Leisure', 'Terrestrial plant', 'Wheelchair', 'Summer']",
40,kids-157eiga10ycnqoa5gt7sg1s7cmvqc8j8jfr3al0o8fqv4tg6.jpg,,"['Shorts', 'Soccer', 'Playing sports', 'Sports equipment', 'Plant', 'Football', 'Green', 'Tree', 'Player', 'Ball']",
41,participating-activities-you-enjoy-inline.jpg,,"['Smile', 'Muscle', 'Gesture', 'Happy', 'Leisure', 'T-shirt', 'Community', 'Shorts', 'Grass', 'Competition event']",
42,professional-family-photos-004-1.jpg,,"['Water', 'People in nature', 'People on beach', 'Sky', 'Flash photography', 'Gesture', 'Happy', 'Style', 'Black-and-white', 'Leisure']",
43,tfk-223-feat-2024-1200x627-1-1080x627.jpg,,"['Face', 'Smile', 'Plant', 'People in nature', 'Botany', 'Happy', 'Tree', 'Leisure', 'Grass', 'Adaptation']",
44,the_ethnic_origins_of_beauty_portrait_photography_02.jpg,,"['Forehead', 'Nose', 'Cheek', 'Lip', 'Eyelash', 'Flash photography', 'Jaw', 'Iris', 'Ear', 'No expression']",
45,the_ethnic_origins_of_beauty_portrait_photography_29.jpg,,"['Forehead', 'Nose', 'Cheek', 'Skin', 'Lip', 'Lipstick', 'Eyebrow', 'Eyelash', 'Eye liner', 'Organ']",
